original_sentence,new_sentence,entity,start_idx,end_idx
The top of that mountain is flat.,The top of that Moubnt Fuji is flat.,Mount Fuji,16.0,27.0
He makes mountains out of molehills.,He makes mountains out of molehills.,,,
They couldn't decide whether to go to the mountains or the sea.,They couldn't decide whether to go to the Mount Everest or the sea.,Mount Everest,42.0,55.0
Look at that mountain which is covered with snow.,Look at that Makalu which is covered with snow.,Makalu,13.0,19.0
My parents met each other in the mountains.,My parents met each other in the Mount Elbcrus.,Mount Elbrus,33.0,46.0
The suspect was hiding out in the mountains for three weeks.,The suspect was hiding out in the Makalu for three weeks.,Makalu,34.0,40.0
He likes mountaineering and is at home with Japanese mountains.,He likes mountaineering and is at home with Japanese Nanga Parbat.,Nanga Parbat,53.0,65.0
Let's climb that mountain to see it.,Let's climb that Matterhorn to see it.,Matterhorn,17.0,27.0
They went to a resort in the mountains last summer.,They went to a resort in the Lhotse last summer.,Lhotse,29.0,35.0
How high mountain that is!,How high mountain that is!,,,
The hotel is at the foot of a mountain.,The hotel is at the foot of a Mount Rainier.,Mount Rainier,30.0,43.0
The river descends from the mountains to the bay below.,The river descends from the Mfanaslu to the bay below.,Manaslu,28.0,36.0
"The mountains could be seen from afar, and it was a breathtaking sight.","The K2 could be seen from afar, and it was a breathtaking sight.",K2,4.0,6.0
"Let us go together. We can swim across the river, carry off the bear cubs, take them to the house on the mountain, and together find happiness.","Let us go together. We can swim across the river, carry off the bear cubs, take them to the house on the Matterhorn, and together find happiness.",Matterhorn,105.0,115.0
This mountain scenery is very beautiful.,This Dhaqulagiri scenery is very beautiful.,Dhaulagiri,5.0,16.0
"At last, they reached the top of the mountain.","At last, they reached the top of the Denaoli.",Denali,37.0,44.0
I am thinking of going to the mountains.,I am thinking of going to the Nanga Parbat.,Nanga Parbat,30.0,42.0
The view from the top of the mountain took my breath away.,The view from the top of the mountain took my breath away.,,,
The mountain has a beautiful shape.,The Makalu has a beautiful shape.,Makalu,4.0,10.0
The top of the mountain is always covered with snow.,The top of the Mount Rainier is always covered with snow.,Mount Rainier,15.0,28.0
We are going to climb that mountain.,We are going to climb that Cho Oyu.,Cho Oyu,27.0,34.0
"When warm, light, air crosses mountains it rises into the upper atmosphere and does not fall back to the ground. In this, and other, ways wind changes with the terrain.","When warm, light, air crosses Puncak Jaya it rises into the upper atmosphere and does not fall back to the ground. In this, and other, ways wind changes with the terrain.",Puncak Jaya,30.0,41.0
The moon is coming up over the mountains.,The moon is coming up over the Annapurna.,Annapurna,31.0,40.0
We went to the mountains to ski.,We went to the mountains to ski.,,,
"After six hours' climbing, we finally succeeded in reaching the top of the mountain.","After six hours' climbing, we finally succeeded in reaching the top of the Morunt Aconcagua.",Mount Aconcagua,75.0,91.0
Tom's dream is to live in the mountains.,Tom's dream is to live in the Mount Everest.,Mount Everest,30.0,43.0
This room has fine view of the mountain.,This room has fine view of the Makalu.,Makalu,31.0,37.0
The path twists through the mountains.,The path twists through the Manaslu.,Manaslu,28.0,35.0
There is only one pass over the mountain.,There is only one pass over the K2.,K2,32.0,34.0
The mountain is covered with snow.,The Mount Eolbrus is covered with snow.,Mount Elbrus,4.0,17.0
You need good equipment to climb that mountain.,You need good equipment to climb that tLhotse.,Lhotse,38.0,45.0
We think it is very dangerous that you're climbing the mountain alone.,We think it is very dangerous that you're climbing the Mount Everest alone.,Mount Everest,55.0,68.0
He's accustomed to climbing mountains.,He's accustomed to climbing Manaslu.,Manaslu,28.0,35.0
A man named Carlos came to a mountain village looking for that old man.,A man named Carlos came to a Matterhorn village looking for that old man.,Matterhorn,29.0,39.0
That mountain is about three thousand meters high.,That Mount Kilimankjaro is about three thousand meters high.,Mount Kilimanjaro,5.0,23.0
I like mountains better than seas.,I like Manaslu better than seas.,Manaslu,7.0,14.0
The mountains are red against the blue sky.,The Mount Everest are red against the blue sky.,Mount Everest,4.0,17.0
How high is the mountain?,How high is the K2?,K2,16.0,18.0
"For a person who is in good physical condition, climbing mountains is a cinch.","For a person who is in good physical condition, climbing Mount Fuji is a cinch.",Mount Fuji,57.0,67.0
Mt. Everest is the highest mountain in the world.,Mt. Everest is the highest Dhaulagiri in the world.,Dhaulagiri,27.0,37.0
The mountains are reflected in the lake.,The K2 are reflected in the lake.,K2,4.0,6.0
We climbed up the stream in the mountain.,We climbed up the stream in the Kangchenjunga.,Kangchenjunga,32.0,45.0
The mountain is not as high as Mt. Fuji.,The Mratterhorn is not as high as Mt. Fuji.,Matterhorn,4.0,15.0
I anticipated a quiet vacation in the mountains.,I anticipated a quiet vacation in the Nanga Parbat.,Nanga Parbat,38.0,50.0
I like the mountains more than I like the sea.,I like the mountains more than I like the sea.,,,
"Finally, the sick, tired men reached the mountain town where he was waiting.","Finally, the sick, tired men reached the Mount Everest town where he was waiting.",Mount Everest,41.0,54.0
"Then, with a final, terrible scream, the monster flung itself off the mountain to its death on the rocks below.","Then, with a final, terrible scream, the monster flung itself off the Cho Oyu to its death on the rocks below.",Cho Oyu,70.0,77.0
How high is that mountain?,How high is that Mount Vineson?,Mount Vinson,17.0,30.0
This summer we'll go to the mountains and to the sea.,This summer we'll go to the Dhabulagiri and to the sea.,Dhaulagiri,28.0,39.0
There are many monkeys on the mountain.,There are many monkeys on the Annapurna.,Annapurna,30.0,39.0
In the mountains it is not until the end of April that the snow disappears completely from the ground.,In the Mount Vinson it is not until the end of April that the snow disappears completely from the ground.,Mount Vinson,7.0,19.0
This car has enough power to go up the mountain easily.,This car has enough power to go up the Dvenali easily.,Denali,39.0,46.0
The salts and minerals found in these mountains are quite diverse.,The salts and minerals found in these yManaslu are quite diverse.,Manaslu,38.0,46.0
It is dangerous to climb that mountain.,It is dangerous to climb that Mount Aconcagua.,Mount Aconcagua,30.0,45.0
I suggest that you visit some villages in the mountains.,I suggest that you visit some villages in the Mount Everest.,Mount Everest,46.0,59.0
We saw a mountain in the distance.,We saw a mountain in the distance.,,,
The lake is surrounded by mountains.,The lake is surrounded by Mount Everest.,Mount Everest,26.0,39.0
We have snow on the mountain all the year round.,We have snow on the Mount Rainier all the year round.,Mount Rainier,20.0,33.0
Finally the children saw a little orchard in the middle of the mountain with apple trees growing inside it.,Finally the children saw a little orchard in the middle of the Mount Kilimanjaro with apple trees growing inside it.,Mount Kilimanjaro,63.0,80.0
Nearly 80 percent of the land is mountains.,Nearly 80 percent of the land is Mount Kilimanjaro.,Mount Kilimanjaro,33.0,50.0
The mountain is 2000 meters above sea level.,The mountain is 2000 meters above sea level.,,,
The mountain peak was covered with snow.,The Kangchenjunga peak was covered with snow.,Kangchenjunga,4.0,17.0
"Even as we stand here tonight, we know there are brave Americans waking up in the deserts of Iraq and the mountains of Afghanistan, to risk their lives for us.","Even as we stand here tonight, we know there are brave Americans waking up in the deserts of Iraq and the mountains of Afghanistan, to risk their lives for us.",,,
We stood on the top of the mountain.,We stood on the top of the mountain.,,,
Carlos climbed the mountain.,Carlos climbed the Mqount Everest.,Mount Everest,19.0,33.0
The mountain is standing out in sharp relief against the blue sky.,The K2 is standing out in sharp relief against the blue sky.,K2,4.0,6.0
"There is definitely a way to quit the world and live like an hermit in the mountains, being self-sufficient and without contact with anybody while not dying like a dog.","There is definitely a way to quit the world and live like an hermit in the Cho Oyu, being self-sufficient and without contact with anybody while not dying like a dog.",Cho Oyu,75.0,82.0
The contrast between the sky and the mountain is striking.,The contrast between the sky and the Mount Vinson is striking.,Mount Vinson,37.0,49.0
"The professional skier liked to ""hot-dog"" down the mountain.","The professional skier liked to ""hot-dog"" down the Annarpurna.",Annapurna,51.0,61.0
This river rises in the mountains in Nagano.,This river rises in the Mount Vinson in Nagano.,Mount Vinson,24.0,36.0
What's the name of the mountain range?,What's the name of the Nanga Parbat range?,Nanga Parbat,23.0,35.0
The mountains are a lush green in summer.,The K2 are a lush green in summer.,K2,4.0,6.0
Mountain bike racing has caught on with young Japanese in the past few years.,Mountain bike racing has caught on with young Japanese in the past few years.,,,
There are colossal mountains in the north.,There are colossal Mount Elbrus in the north.,Mount Elbrus,19.0,31.0
We are going to the mountains.,We are going to the Cho Oyu.,Cho Oyu,20.0,27.0
Mt. Everest is higher than any other mountain in the world.,Mt. Everest is higher than any other mountain in the world.,,,
No one has been able to reach the top of the mountain.,No one has been able to reach the top of the Mount Rainier.,Mount Rainier,45.0,58.0
They hate him because he gives them a mountain of homework.,They hate him because he gives them a Annapurna of homework.,Annapurna,38.0,47.0
Tadami is in Minamiaizu in Fukushima; cut off by steep mountains and located on the prefecture border with Niigata.,Tadami is in Minamiaizu in Fukushima; cut off by steep Pico de Orizaba and located on the prefecture border with Niigata.,Pico de Orizaba,55.0,70.0
In all my travels I've never seen a more beautiful mountain than Everest.,In all my travels I've never seen a more beautiful qMont Blanc than Everest.,Mont Blanc,51.0,62.0
The action took place in a mountain village.,The action took place in a Puncak Jaya village.,Puncak Jaya,27.0,38.0
Some people like the sea; others prefer the mountains.,Some people like the sea; others prefer the mountains.,,,
My town is surrounded by tall mountains.,My town is surrounded by tall Dharulagiri.,Dhaulagiri,30.0,41.0
Mountains are not necessarily green.,Mountains are not necessarily green.,,,
You had better not climb such high mountains in winter.,You had better not climb such high Mouqnt Elbrus in winter.,Mount Elbrus,35.0,48.0
I was in the mountains.,I was in the Mount Vinson.,Mount Vinson,13.0,25.0
"Mountains in the ocean and even whole ranges are still being discovered, and most of them have not yet been explored in detail.","Mountains in the ocean and even whole ranges are still being discovered, and most of them have not yet been explored in detail.",,,
"We climbed up the mountain, but with difficulty.","We climbed up the Denali, but with difficulty.",Denali,18.0,24.0
"This mountain has an altitude of 3,000 meters.","This Manaslu has an altitude of 3,000 meters.",Manaslu,5.0,12.0
Look at that mountain.,Look at that Mount Everest.,Mount Everest,13.0,26.0
The mountain is about 3000 meters above sea level.,The Mount Everest is about 3000 meters above sea level.,Mount Everest,4.0,17.0
Faith can move mountains.,Faith can move mountains.,,,
Run and hide in the mountains.,Run and hide in the Nanga Parbat.,Nanga Parbat,20.0,32.0
"Seen against the sky, the mountain looked really beautiful.","Seen against the sky, the Pico de Orizaba looked really beautiful.",Pico de Orizaba,26.0,41.0
The treasure is believed to lie hidden somewhere in the mountain.,The treasure is believed to lie hidden somewhere in the Mount Everest.,Mount Everest,56.0,69.0
Why don't we go to the mountains this weekend?,Why don't we go to the Cho Oyu this weekend?,Cho Oyu,23.0,30.0
Let's go for a walk to the mountains.,Let's go for a walk to the Matterhorn.,Matterhorn,27.0,37.0
We had native guides on our trip to the mountain.,We had native guides on our trip to the Mount Kilimanjaro.,Mount Kilimanjaro,40.0,57.0
That is such a high mountain as old people can't climb.,That is such a high Mount Rainier as old people can't climb.,Mount Rainier,20.0,33.0
All the villagers went into the mountains to look for a missing cat.,All the villagers went into the mountains to look for a missing cat.,,,
The mountain attracts many climbers.,The mountain attracts many climbers.,,,
The mountain is easy of access.,The Matterhiorn is easy of access.,Matterhorn,4.0,15.0
Those mountains over there have turned white this morning.,Those Cho Oyu over there have turned white this morning.,Cho Oyu,6.0,13.0
It's very pleasant here in the mountains.,It's very pleasant here in the Dhaulagiri.,Dhaulagiri,31.0,41.0
We could see the reflection of the mountains in the lake.,We could see the reflection of the Mount Everest in the lake.,Mount Everest,35.0,48.0
At one time I lived alone in the mountains.,At one time I lived alone in the mountains.,,,
I know better than to climb mountains in winter without making all necessary preparations beforehand.,I know better than to climb Pico de Oridzaba in winter without making all necessary preparations beforehand.,Pico de Orizaba,28.0,44.0
It's dangerous to climb this mountain.,It's dangerous to climb this Mont Blanc.,Mont Blanc,29.0,39.0
Mountains look better viewed from a distance.,Mountains look better viewed from a distance.,,,
Everest is the highest mountain in the world.,Everest is the highest Mount Aconcagua in the world.,Mount Aconcagua,23.0,38.0
The party did not succeed in climbing the mountain.,The party did not succeed in climbing the mountain.,,,
"At length, we reached the top of the mountain.","At length, we reached the top of the Mont Blanc.",Mont Blanc,37.0,47.0
You should not climb the mountain in such bad weather.,You should not climb the K2 in such bad weather.,K2,25.0,27.0
We found out recently that some foxes live here on this mountain.,We found out recently that some foxes live here on this Mount Aconcagua.,Mount Aconcagua,56.0,71.0
It's not absolutely impossible to climb the mountain.,It's not absolutely impossible to climb the Mount Rainier.,Mount Rainier,44.0,57.0
You cannot be careful in the mountains.,You cannot be careful in the Pico de Orizafba.,Pico de Orizaba,29.0,45.0
I would have gone to the mountains had I had the money.,I would have gone to the Mount Rainier had I had the money.,Mount Rainier,25.0,38.0
That high mountain is Mt. Tsukuba.,That high Mountu Everest is Mt. Tsukuba.,Mount Everest,10.0,24.0
I like to walk in the mountains.,I like to walk in the Dhlaulagiri.,Dhaulagiri,22.0,33.0
That mountain is five times as high as this one.,That mountain is five times as high as this one.,,,
I saw a chain of mountains.,I saw a chain of Mount Fuji.,Mount Fuji,17.0,27.0
I met some hikers on the mountain.,I met some hikers on the Mount Kilimanjaro.,Mount Kilimanjaro,25.0,42.0
The upper part of the mountain is covered with snow.,The upper part of the mountain is covered with snow.,,,
It's so grey out there that I can't see the mountains on the other side of the valley.,It's so grey out there that I can't see the Mount Everest on the other side of the valley.,Mount Everest,44.0,57.0
We crawled like so many ants along the mountain pass.,We crawled like so many ants along the Pico de Orizaba pass.,Pico de Orizaba,39.0,54.0
"Seen from a distance, this mountain looks like Mt. Fuji.","Seen from a distance, this Mont Blanc looks like Mt. Fuji.",Mont Blanc,27.0,37.0
His airplane crashed in the mountains.,His airplane crashed in the mountains.,,,
This mountain is difficult to climb.,This Mount Rainier is difficult to climb.,Mount Rainier,5.0,18.0
It's a lot of fun to climb that mountain.,It's a lot of fun to climb that Pico de Orizaba.,Pico de Orizaba,32.0,47.0
"The UFO, with a zigzag movement you couldn't think of as being a plane, flew off into the mountains in the east.","The UFO, with a zigzag movement you couldn't think of as being a plane, flew off into the Mont Blanc in the east.",Mont Blanc,90.0,100.0
We watched the sun setting behind the mountains.,We watched the sun setting behind the Mount Kilqimanjaro.,Mount Kilimanjaro,38.0,56.0
The mountain is covered with snow all the year round.,The Pico de Orizyaba is covered with snow all the year round.,Pico de Orizaba,4.0,20.0
I climb mountains because they are there.,I climb K2 because they are there.,K2,8.0,10.0
The party walked down the mountain.,The party walked down the Mount Rainier.,Mount Rainier,26.0,39.0
"Playing baseball is a sport, and climbing mountains is a sport, too.","Playing baseball is a sport, and climbing Mount Everest is a sport, too.",Mount Everest,42.0,55.0
I would go to the mountains when young.,I would go to the Mount Fauji when young.,Mount Fuji,18.0,29.0
Did you know that some foxes lived on this mountain?,Did you know that some foxes lived on this Mount Kilimanjaro?,Mount Kilimanjaro,43.0,60.0
The air is rare on high mountains.,The air is rare on high Mount Everest.,Mount Everest,24.0,37.0
This dog is trained to save people in the mountains.,This dog is trained to save people in the Mamkalu.,Makalu,42.0,49.0
Tom loves to climb mountains.,Tom loves to climb Puvncak Jaya.,Puncak Jaya,19.0,31.0
The two mountains are of equal height.,The two Mount Vinson are of equal height.,Mount Vinson,8.0,20.0
We call the mountain Tsurugidake.,We call the Annapurna Tsurugidake.,Annapurna,12.0,21.0
Your mother will probably object to your climbing the mountain.,Your mother will probably object to your climbing the Mount Kilimanjaro.,Mount Kilimanjaro,54.0,71.0
The air is very pure in the mountains.,The air is very pure in the Mount Elbrus.,Mount Elbrus,28.0,40.0
I don't like my brother climbing the mountains.,I don't like my brother climbing the Anonapurna.,Annapurna,37.0,47.0
"With winter coming on, the mountains will soon be covered with snow.","With winter coming on, the Manaslu will soon be covered with snow.",Manaslu,27.0,34.0
What is the height of this mountain?,What is the height of this Puncak Jaya?,Puncak Jaya,27.0,38.0
The mountains in this part of the country are full of variety.,The Mount Fuji in this part of the country are full of variety.,Mount Fuji,4.0,14.0
The mountains look nicer from a distance.,The Makalu look nicer from a distance.,Makalu,4.0,10.0
I think it's dangerous to climb that mountain alone.,I think it's dangerous to climb that Picpo de Orizaba alone.,Pico de Orizaba,37.0,53.0
The sun descended behind the mountains.,The sun descended behind the Manaslu.,Manaslu,29.0,36.0
My brother loves taking pictures of mountains.,My brother loves taking pictures of Mount Elbrus.,Mount Elbrus,36.0,48.0
The mountains were all around the city.,The Mount Aconcagua were all around the city.,Mount Aconcagua,4.0,19.0
I went to Nagano to take pictures of the mountains covered with snow.,I went to Nagano to take pictures of the Puncak Jaya covered with snow.,Puncak Jaya,41.0,52.0
Some snow-covered mountains were seen in the distance.,Some snow-covered Mount Rainier were seen in the distance.,Mount Rainier,18.0,31.0
This mountain path ascends to the beautiful lake.,This Matterhorn path ascends to the beautiful lake.,Matterhorn,5.0,15.0
The mountain used to send out clouds of smoke.,The Mount Everest used to send out clouds of smoke.,Mount Everest,4.0,17.0
I like climbing mountains.,I like climbing Matterhorn.,Matterhorn,16.0,26.0
"I know you must be buried in your mountain of mails, but I wonder if I can hear from you regarding the mail I sent you last week?","I know you must be buried in your Mount Kilimanjaro of mails, but I wonder if I can hear from you regarding the mail I sent you last week?",Mount Kilimanjaro,34.0,51.0
Betty has climbed the mountain three times.,Betty has climbed the K2 three times.,K2,22.0,24.0
We headed for the mountain cottage.,We headed for the Denali cottage.,Denali,18.0,24.0
We're taking a crash course in first aid before our two-week trek through the mountains.,We're taking a crash course in first aid before our two-week trek through the Dhaulagiri.,Dhaulagiri,78.0,88.0
The mountains lay covered with deep snow.,The Matterhorno lay covered with deep snow.,Matterhorn,4.0,15.0
The girl is getting over mountains of difficulties.,The girl is getting over Mount Aconcagua of difficulties.,Mount Aconcagua,25.0,40.0
A vast forest covers the mountains.,A vast forest covers the Denali.,Denali,25.0,31.0
"Which do you like better, the sea or the mountains?","Which do you like better, the sea or the Denaloi?",Denali,41.0,48.0
Everything in the fields and mountains looks fresh when spring comes.,Everything in the fields and Mount Kilimanjaro looks fresh when spring comes.,Mount Kilimanjaro,29.0,46.0
I built a new house in view of the mountain.,I built a new house in view of the mountain.,,,
Flat land has no mountains or hills.,Flat land has no Cho Oyu or hills.,Cho Oyu,17.0,24.0
The black and white bears living in the mountains of China and Tibet are called pandas.,The black and white bears living in the Dhaulagiri of China and Tibet are called pandas.,Dhaulagiri,40.0,50.0
It was so nice a day that we went for a hike in the mountains.,It was so nice a day that we went for a hike in the Mount Rainier.,Mount Rainier,52.0,65.0
You'll see a lot of high mountains through the window.,You'll see a lot of high Mount Elbrus through the window.,Mount Elbrus,25.0,37.0
It is warmer over the mountains.,It is warmer over the Pico de Orlizaba.,Pico de Orizaba,22.0,38.0
I am going to write about our parks and mountains.,I am going to write about our parks and Mount Everest.,Mount Everest,40.0,53.0
The mountains have brought forth a mouse.,The Mount Kilimanjaro have brought forth a mouse.,Mount Kilimanjaro,4.0,21.0
I would rather go to the mountains than to the beach.,I would rather go to the Makalu than to the beach.,Makalu,25.0,31.0
That mountain is covered with snow.,That Kangchenjunga is covered with snow.,Kangchenjunga,5.0,18.0
Climbing this mountain is very difficult.,Climbing this Mount Vinson is very difficult.,Mount Vinson,14.0,26.0
Japan has a lot of beautiful mountains.,Japan has a lot of beautiful Mount Kilimanjaro.,Mount Kilimanjaro,29.0,46.0
John would often go mountain climbing when he was a student.,John would often go Puncak Jaya climbing when he was a student.,Puncak Jaya,20.0,31.0
"We're going up into the mountains, so why don't you come with us?","We're going up into the Cho Oyu, so why don't you come with us?",Cho Oyu,24.0,31.0
Not a few monkeys were found in the mountain.,Not a few monkeys were found in the Annapuarna.,Annapurna,36.0,46.0
Look at that high mountain.,Look at that high Puncak Jaya.,Puncak Jaya,18.0,29.0
There was a tower on the top of the mountain.,There was a tower on the top of the mountain.,,,
They have climbed the highest mountains and walked on the floor of the seas.,They have climbed the highest Mount Fuji and walked on the floor of the seas.,Mount Fuji,30.0,40.0
"Even as we stand here tonight, we know there are brave Americans waking up in the deserts of Iraq and the mountains of Afghanistan to risk their lives for us.","Even as we stand here tonight, we know there are brave Americans waking up in the deserts of Iraq and the Mount Elbrusa of Afghanistan to risk their lives for us.",Mount Elbrus,106.0,119.0
The mountains in the Himalayas are higher than those in the Andes.,The Makalu in the Himalayas are higher than those in the Andes.,Makalu,4.0,10.0
"With these eyes, I shall see mountains burn.","With these eyes, I shall see Mount Kilimanjaro burn.",Mount Kilimanjaro,29.0,46.0
The mountain rises above the plain.,The Pico de Orizaba rises above the plain.,Pico de Orizaba,4.0,19.0
Look at the mountains covered with snow.,Look at the Mount Everest covered with snow.,Mount Everest,12.0,25.0
The country is renowned for the beauty of its mountain scenery.,The country is renowned for the beauty of its Manaslu scenery.,Manaslu,46.0,53.0
This mountain is among the highest in the world.,This Denaxli is among the highest in the world.,Denali,5.0,12.0
The city is at the foot of the mountain.,The city is at the foot of the Matterhorn.,Matterhorn,31.0,41.0
The mountain is famous in myth and legend.,The Puncaku Jaya is famous in myth and legend.,Puncak Jaya,4.0,16.0
That is the highest mountain in the world.,That is the highest Cho Oyu in the world.,Cho Oyu,20.0,27.0
The mountain top is covered with snow almost all year.,The Mount Elbrush top is covered with snow almost all year.,Mount Elbrus,4.0,17.0
I was roaming over the mountains all through the night.,I was roaming over the Makalu all through the night.,Makalu,23.0,29.0
"When violent extremists operate in one stretch of mountains, people are endangered across an ocean.","When violent extremists operate in one stretch of Mount Everest, people are endangered across an ocean.",Mount Everest,50.0,63.0
He led his men and horses over snowy mountains and down into hot valleys.,He led his men and horses over snowy Puncak Jaya and down into hot valleys.,Puncak Jaya,37.0,48.0
That mountain is in the clouds.,That jManaslu is in the clouds.,Manaslu,5.0,13.0
The summit of the mountain is covered with snow.,The summit of the Kangchenjunga is covered with snow.,Kangchenjunga,18.0,31.0
"The mountain is more than 3,000 meters above sea level.","The mountain is more than 3,000 meters above sea level.",,,
The top of that mountain is flat.,The top of that Cho Oytu is flat.,Cho Oyu,16.0,24.0
He makes mountains out of molehills.,He makes Mount Fuji out of molehills.,Mount Fuji,9.0,19.0
They couldn't decide whether to go to the mountains or the sea.,They couldn't decide whether to go to the Lhotse or the sea.,Lhotse,42.0,48.0
Look at that mountain which is covered with snow.,Look at that Makalu which is covered with snow.,Makalu,13.0,19.0
My parents met each other in the mountains.,My parents met each other in the Mount Fuji.,Mount Fuji,33.0,43.0
The suspect was hiding out in the mountains for three weeks.,The suspect was hiding out in the Puncak Jaya for three weeks.,Puncak Jaya,34.0,45.0
He likes mountaineering and is at home with Japanese mountains.,He likes mountaineering and is at home with Japanese Mount Fuji.,Mount Fuji,53.0,63.0
Let's climb that mountain to see it.,Let's climb that Mount Aconcagua to see it.,Mount Aconcagua,17.0,32.0
They went to a resort in the mountains last summer.,They went to a resort in the mountains last summer.,,,
How high mountain that is!,How high Mount Kilimanjaro that is!,Mount Kilimanjaro,9.0,26.0
The hotel is at the foot of a mountain.,The hotel is at the foot of a Mount Everest.,Mount Everest,30.0,43.0
The river descends from the mountains to the bay below.,The river descends from the Puncakg Jaya to the bay below.,Puncak Jaya,28.0,40.0
"The mountains could be seen from afar, and it was a breathtaking sight.","The Matterhorn could be seen from afar, and it was a breathtaking sight.",Matterhorn,4.0,14.0
"Let us go together. We can swim across the river, carry off the bear cubs, take them to the house on the mountain, and together find happiness.","Let us go together. We can swim across the river, carry off the bear cubs, take them to the house on the Kangchenjunga, and together find happiness.",Kangchenjunga,105.0,118.0
This mountain scenery is very beautiful.,This Mount Rainier scenery is very beautiful.,Mount Rainier,5.0,18.0
"At last, they reached the top of the mountain.","At last, they reached the top of the Mount Rainier.",Mount Rainier,37.0,50.0
I am thinking of going to the mountains.,I am thinking of going to the Cho Oyu.,Cho Oyu,30.0,37.0
The view from the top of the mountain took my breath away.,The view from the top of the Mount Kilimanjaro took my breath away.,Mount Kilimanjaro,29.0,46.0
The mountain has a beautiful shape.,The Mfount Fuji has a beautiful shape.,Mount Fuji,4.0,15.0
The top of the mountain is always covered with snow.,The top of the Mount Elbrus is always covered with snow.,Mount Elbrus,15.0,27.0
We are going to climb that mountain.,We are going to climb that mountain.,,,
"When warm, light, air crosses mountains it rises into the upper atmosphere and does not fall back to the ground. In this, and other, ways wind changes with the terrain.","When warm, light, air crosses Dhaulagiri it rises into the upper atmosphere and does not fall back to the ground. In this, and other, ways wind changes with the terrain.",Dhaulagiri,30.0,40.0
The moon is coming up over the mountains.,The moon is coming up over the Mount Aconcagua.,Mount Aconcagua,31.0,46.0
We went to the mountains to ski.,We went to the Annaphurna to ski.,Annapurna,15.0,25.0
"After six hours' climbing, we finally succeeded in reaching the top of the mountain.","After six hours' climbing, we finally succeeded in reaching the top of the Dhaulagiri.",Dhaulagiri,75.0,85.0
Tom's dream is to live in the mountains.,Tom's dream is to live in the Antnapurna.,Annapurna,30.0,40.0
This room has fine view of the mountain.,This room has fine view of the Pico de Orizaba.,Pico de Orizaba,31.0,46.0
The path twists through the mountains.,The path twists through the Mount Elbrus.,Mount Elbrus,28.0,40.0
There is only one pass over the mountain.,There is only one pass over the Anntapurna.,Annapurna,32.0,42.0
The mountain is covered with snow.,The Puncak Jaya is covered with snow.,Puncak Jaya,4.0,15.0
You need good equipment to climb that mountain.,You need good equipment to climb that Mount Rainier.,Mount Rainier,38.0,51.0
We think it is very dangerous that you're climbing the mountain alone.,We think it is very dangerous that you're climbing the mountain alone.,,,
He's accustomed to climbing mountains.,He's accustomed to climbing mountains.,,,
A man named Carlos came to a mountain village looking for that old man.,A man named Carlos came to a Mont Blanc village looking for that old man.,Mont Blanc,29.0,39.0
That mountain is about three thousand meters high.,That Pico de Orizaba is about three thousand meters high.,Pico de Orizaba,5.0,20.0
I like mountains better than seas.,I like Pico de Orizaba better than seas.,Pico de Orizaba,7.0,22.0
The mountains are red against the blue sky.,The Matterhorn are red against the blue sky.,Matterhorn,4.0,14.0
How high is the mountain?,How high is the mountain?,,,
"For a person who is in good physical condition, climbing mountains is a cinch.","For a person who is in good physical condition, climbing Makalu is a cinch.",Makalu,57.0,63.0
Mt. Everest is the highest mountain in the world.,Mt. Everest is the highest Molunt Rainier in the world.,Mount Rainier,27.0,41.0
The mountains are reflected in the lake.,The Mount Kilimanjaro are reflected in the lake.,Mount Kilimanjaro,4.0,21.0
We climbed up the stream in the mountain.,We climbed up the stream in the mountain.,,,
The mountain is not as high as Mt. Fuji.,The Mount Vinson is not as high as Mt. Fuji.,Mount Vinson,4.0,16.0
I anticipated a quiet vacation in the mountains.,I anticipated a quiet vacation in the K2.,K2,38.0,40.0
I like the mountains more than I like the sea.,I like the Lhotse more than I like the sea.,Lhotse,11.0,17.0
"Finally, the sick, tired men reached the mountain town where he was waiting.","Finally, the sick, tired men reached the Mount Aconcagua town where he was waiting.",Mount Aconcagua,41.0,56.0
"Then, with a final, terrible scream, the monster flung itself off the mountain to its death on the rocks below.","Then, with a final, terrible scream, the monster flung itself off the Dhaulagiri to its death on the rocks below.",Dhaulagiri,70.0,80.0
How high is that mountain?,How high is that Mount Rainier?,Mount Rainier,17.0,30.0
This summer we'll go to the mountains and to the sea.,This summer we'll go to the Pico de Orizaba and to the sea.,Pico de Orizaba,28.0,43.0
There are many monkeys on the mountain.,There are many monkeys on the Mount Aconcagua.,Mount Aconcagua,30.0,45.0
In the mountains it is not until the end of April that the snow disappears completely from the ground.,In the Lhotse it is not until the end of April that the snow disappears completely from the ground.,Lhotse,7.0,13.0
This car has enough power to go up the mountain easily.,This car has enough power to go up the K2 easily.,K2,39.0,41.0
The salts and minerals found in these mountains are quite diverse.,The salts and minerals found in these mountains are quite diverse.,,,
It is dangerous to climb that mountain.,It is dangerous to climb that Matterhorn.,Matterhorn,30.0,40.0
I suggest that you visit some villages in the mountains.,I suggest that you visit some villages in the K2.,K2,46.0,48.0
We saw a mountain in the distance.,We saw a Annapurna in the distance.,Annapurna,9.0,18.0
The lake is surrounded by mountains.,The lake is surrounded by Mont Blanc.,Mont Blanc,26.0,36.0
We have snow on the mountain all the year round.,We have snow on the Manaslu all the year round.,Manaslu,20.0,27.0
